[2020-03-04 09:05:41,237] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-04 09:05:41,391] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-05 09:11:13,957] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-05 09:11:14,396] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-05 09:11:35,296] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-05 09:11:35,393] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-05 09:11:37,023] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-05 09:11:37,204] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-06 09:07:24,299] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-06 09:07:24,523] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-06 09:07:35,563] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-06 09:07:35,693] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-06 09:07:39,759] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-06 09:07:40,023] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-16 09:42:40,630] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-16 09:42:41,387] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-16 09:42:41,868] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-16 09:42:42,035] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-16 09:42:52,596] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-16 09:42:52,987] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-16 09:43:55,104] INFO Starting the log cleaner (kafka.log.LogCleaner)
[2020-03-16 09:43:55,238] INFO [kafka-log-cleaner-thread-0]: Starting (kafka.log.LogCleaner)
[2020-03-16 09:43:55,295] INFO Cleaner 0: Beginning cleaning of log __consumer_offsets-15. (kafka.log.LogCleaner)
